place;catu;sexe;secu1;year_acc;victim_age;catv;obsm;motor;catr;circ;surf;situ;vma;jour;mois;lum;dep;com;agg_;int;atm;col;lat;long;hour;nb_victim;nb_vehicules
1;1;1;2.0;2021;57.0;1.0;2.0;1.0;4;2.0;1.0;1.0;30.0;18;1;1;17;17300;2;3;0.0;3.0;46.17035;-1.18606;17;2;2
1;1;1;2.0;2021;56.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;26;2;1;17;17415;2;1;0.0;3.0;45.75388;-0.65457;16;2;2
2;2;1;1.0;2021;35.0;2.0;2.0;1.0;4;1.0;1.0;1.0;30.0;5;6;1;69;69386;2;2;0.0;3.0;45.76979;4.84713;15;4;2
2;2;2;2.0;2021;20.0;1.0;2.0;1.0;1;3.0;1.0;1.0;110.0;14;10;1;91;91689;1;1;0.0;2.0;48.72596;2.3131;17;3;2
1;1;2;1.0;2021;56.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;26;9;1;22;22273;1;1;0.0;3.0;48.539;-2.535857;16;4;2
1;1;1;2.0;2021;20.0;1.0;2.0;1.0;3;2.0;1.0;1.0;50.0;16;6;1;3;3185;2;2;0.0;1.0;46.35363;2.58966;19;3;2
4;2;2;1.0;2021;25.0;2.0;0.0;1.0;2;3.0;1.0;1.0;50.0;24;7;3;33;33529;1;6;0.0;6.0;44.61819;-1.12411;2;4;1
2;2;1;1.0;2021;23.0;2.0;2.0;1.0;4;2.0;2.0;1.0;50.0;27;6;5;75;75116;2;3;1.0;4.0;48.867182;2.295368;3;4;3
1;1;1;1.0;2021;21.0;2.0;2.0;1.0;4;1.0;1.0;1.0;50.0;28;9;1;33;33063;2;2;0.0;3.0;44.86327;-0.55984;9;2;2
10;3;2;0.0;2021;27.0;1.0;1.0;1.0;4;2.0;8.0;1.0;50.0;3;5;1;75;75119;2;7;0.0;6.0;48.900673;2.387033;14;3;2
4;2;1;8.0;2021;26.0;2.0;0.0;1.0;4;3.0;1.0;1.0;50.0;17;8;5;13;13201;2;1;0.0;5.0;43.302;5.3792;23;5;2
10;3;1;0.0;2021;10.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;18;10;1;13;13206;2;1;0.0;6.0;43.28834;5.38442;12;2;1
1;1;1;1.0;2021;67.0;2.0;2.0;1.0;1;3.0;2.0;1.0;110.0;27;2;3;13;13005;1;1;0.0;5.0;43.27201;5.58884;19;10;5
4;2;1;3.0;2021;2.0;2.0;2.0;1.0;3;2.0;1.0;1.0;70.0;3;9;3;91;91471;1;1;0.0;3.0;48.692207;2.177146;22;4;2
1;1;1;2.0;2021;46.0;1.0;2.0;1.0;3;2.0;1.0;1.0;90.0;30;5;1;48;48092;1;3;0.0;3.0;44.568541;3.291762;14;2;2
10;3;1;0.0;2021;2.0;2.0;1.0;1.0;4;1.0;1.0;1.0;50.0;28;4;1;94;94044;2;1;0.0;6.0;48.750418;2.488485;12;2;1
1;1;2;1.0;2021;35.0;2.0;0.0;1.0;3;2.0;1.0;1.0;80.0;15;4;1;89;89399;1;1;0.0;6.0;48.262627;3.340745;18;2;1
1;1;1;1.0;2021;29.0;2.0;2.0;1.0;3;2.0;1.0;1.0;50.0;26;6;1;93;93066;2;1;0.0;3.0;48.928075;2.341314;18;2;2
2;2;2;2.0;2021;59.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;12;11;5;75;75107;2;4;0.0;3.0;48.862869;2.317921;18;3;2
1;1;2;1.0;2021;30.0;2.0;2.0;1.0;3;2.0;1.0;1.0;50.0;14;7;1;94;94019;2;2;0.0;3.0;48.79908;2.54502;9;2;2
2;2;2;2.0;2021;67.0;1.0;2.0;1.0;3;2.0;1.0;1.0;70.0;30;5;1;56;56107;1;6;0.0;2.0;47.7111914;-3.3957865;16;3;2
1;1;1;1.0;2021;20.0;2.0;2.0;1.0;4;2.0;1.0;1.0;50.0;19;5;5;13;13211;2;1;0.0;2.0;43.2916770051;5.4605715773;23;4;2
10;3;2;0.0;2021;19.0;2.0;1.0;2.0;4;2.0;1.0;6.0;50.0;19;4;1;75;75107;2;1;0.0;6.0;48.854814;2.305439;16;2;1
1;1;2;1.0;2021;47.0;2.0;2.0;1.0;7;2.0;2.0;1.0;50.0;10;11;3;83;83069;1;9;1.0;2.0;43.1259;6.0924;18;2;2
1;1;1;1.0;2021;58.0;2.0;0.0;1.0;1;3.0;2.0;1.0;110.0;6;2;3;95;95018;1;1;1.0;6.0;48.9607191984;2.2703658172;18;1;1
1;1;1;2.0;2021;35.0;1.0;2.0;1.0;4;2.0;1.0;1.0;30.0;28;10;1;75;75117;2;4;0.0;3.0;48.886327;2.310849;17;2;2
5;2;1;1.0;2021;19.0;2.0;2.0;1.0;1;3.0;2.0;1.0;70.0;7;11;5;83;83144;1;1;0.0;5.0;43.13444;5.98869;5;13;4
1;1;1;8.0;2021;49.0;2.0;0.0;1.0;3;2.0;1.0;3.0;90.0;13;5;3;3;3216;1;1;0.0;7.0;46.20846;2.704557;23;1;1
2;2;1;2.0;2021;16.0;1.0;2.0;1.0;2;3.0;2.0;1.0;50.0;4;12;1;94;94078;2;5;1.0;3.0;48.735582;2.446676;10;4;2
1;1;1;1.0;2021;28.0;5.0;0.0;1.0;1;3.0;1.0;1.0;110.0;24;11;1;57;57303;1;1;0.0;4.0;49.2185;6.17469;10;5;4
1;1;1;2.0;2021;24.0;1.0;2.0;1.0;4;2.0;2.0;1.0;80.0;3;6;1;22;22127;1;4;0.0;1.0;48.791867;-3.115418;8;2;2
1;1;2;8.0;2021;16.0;1.0;2.0;3.0;4;2.0;1.0;5.0;30.0;17;10;1;75;75107;2;2;0.0;3.0;48.855;2.324579;14;2;2
10;3;2;0.0;2021;77.0;1.0;1.0;1.0;4;1.0;2.0;1.0;30.0;10;12;1;75;75105;2;2;0.0;6.0;48.839021;2.349235;15;2;1
1;1;1;2.0;2021;19.0;1.0;0.0;1.0;3;2.0;1.0;1.0;50.0;21;4;1;76;76164;1;1;0.0;1.0;49.529883;0.77344;13;2;2
1;1;1;1.0;2021;80.0;2.0;0.0;1.0;3;1.0;2.0;3.0;50.0;29;10;1;92;92062;2;1;1.0;5.0;48.880874;2.245695;15;4;4
1;1;1;2.0;2021;43.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;16;6;1;45;45338;2;3;0.0;3.0;47.98203;2.7115;16;2;2
1;1;2;2.0;2021;35.0;1.0;2.0;5.0;4;2.0;1.0;1.0;50.0;29;7;1;75;75109;2;1;0.0;3.0;48.87512;2.3267;17;2;2
1;1;1;2.0;2021;41.0;1.0;0.0;1.0;3;2.0;1.0;1.0;80.0;18;8;1;38;38376;1;1;0.0;7.0;45.430342;5.78833;18;1;1
1;1;1;1.0;2021;35.0;5.0;0.0;1.0;3;2.0;1.0;1.0;70.0;22;12;1;60;60583;2;1;0.0;1.0;49.396172;2.019467;10;2;2
2;2;2;1.0;2021;79.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;9;10;1;22;22137;1;1;0.0;1.0;48.273197;-3.444895;9;3;2
1;1;1;2.0;2021;35.0;1.0;2.0;1.0;3;2.0;1.0;1.0;50.0;21;7;1;92;92009;2;1;0.0;1.0;48.9228487953;2.2763518989;19;2;2
10;3;1;0.0;2021;60.0;1.0;1.0;1.0;7;2.0;1.0;1.0;50.0;8;6;1;67;67204;2;1;0.0;6.0;48.622284;7.730749;18;2;1
1;1;2;0.0;2021;18.0;1.0;2.0;5.0;4;2.0;1.0;1.0;30.0;17;11;2;33;33069;2;6;0.0;3.0;44.86858;-0.59708;7;2;2
1;1;2;8.0;2021;56.0;1.0;2.0;1.0;4;3.0;1.0;1.0;30.0;11;12;1;75;75120;2;3;0.0;3.0;48.8584022942;2.3900467157;12;2;2
1;1;1;8.0;2021;49.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;10;5;1;28;28046;1;1;0.0;1.0;48.663838;0.912514;17;2;2
1;1;1;8.0;2021;13.0;1.0;2.0;6.0;3;2.0;2.0;1.0;50.0;17;3;1;92;92046;2;1;1.0;3.0;48.8192557009;2.2957912087;15;2;2
1;1;1;2.0;2021;58.0;1.0;2.0;1.0;3;2.0;1.0;1.0;90.0;21;8;1;72;72231;1;2;0.0;3.0;47.950817;0.327525;13;2;2
10;3;2;0.0;2021;55.0;5.0;1.0;1.0;4;2.0;1.0;1.0;50.0;12;6;5;33;33229;2;1;0.0;6.0;44.708705;-1.043862;22;5;1
1;1;1;2.0;2021;36.0;1.0;2.0;1.0;1;1.0;1.0;1.0;90.0;8;12;1;92;92050;1;1;0.0;5.0;48.9073305976;2.2124361992;16;3;3
1;1;1;2.0;2021;20.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;17;2;1;92;92036;2;1;0.0;3.0;48.9287642991;2.3122339343;17;2;2
1;1;1;2.0;2021;51.0;1.0;2.0;1.0;1;3.0;1.0;1.0;70.0;18;1;3;92;92036;1;1;0.0;2.0;48.9383816776;2.3133085293;18;2;2
10;3;1;0.0;2021;83.0;2.0;1.0;1.0;4;1.0;1.0;1.0;50.0;18;11;1;63;63113;2;2;0.0;6.0;45.7687;3.07822;17;2;1
1;1;2;1.0;2021;24.0;2.0;2.0;1.0;1;3.0;2.0;1.0;110.0;10;12;4;93;93066;1;1;0.0;2.0;48.929103;2.358122;18;2;2
10;3;1;0.0;2021;6.0;2.0;1.0;1.0;4;2.0;2.0;1.0;50.0;26;12;5;59;59599;2;1;0.0;6.0;50.72772;3.17483;21;2;1
2;2;2;1.0;2021;50.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;26;10;1;42;42304;1;2;0.0;1.0;45.535904;4.150128;16;3;2
1;1;2;1.0;2021;22.0;2.0;2.0;1.0;2;3.0;1.0;1.0;110.0;11;5;1;29;29010;1;1;0.0;2.0;48.506227;-4.124379;8;2;2
1;1;1;2.0;2021;16.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;30;3;1;45;45075;2;2;0.0;3.0;47.8855546678;1.8193369668;7;2;2
1;1;2;8.0;2021;55.0;2.0;2.0;1.0;3;2.0;1.0;1.0;70.0;16;2;3;74;74272;1;1;0.0;2.0;45.948942;6.045935;21;2;2
1;1;1;8.0;2021;29.0;5.0;0.0;1.0;3;2.0;1.0;3.0;50.0;14;7;1;31;31247;2;1;0.0;6.0;43.076879;0.678821;20;1;1
1;1;2;1.0;2021;72.0;2.0;2.0;1.0;2;2.0;1.0;1.0;50.0;3;4;1;43;43077;2;3;0.0;3.0;44.891049;3.848251;13;2;2
1;1;2;0.0;2021;36.0;1.0;2.0;3.0;4;1.0;1.0;1.0;30.0;28;3;1;94;94058;2;1;0.0;2.0;48.8510959666;2.5129723549;18;3;2
1;1;1;0.0;2021;18.0;1.0;2.0;5.0;7;2.0;1.0;1.0;50.0;9;8;1;45;45234;2;3;0.0;1.0;47.8196713444;1.9467618513;13;2;2
1;1;1;2.0;2021;32.0;1.0;2.0;1.0;3;3.0;1.0;1.0;70.0;8;11;5;92;92076;2;1;0.0;3.0;48.82762;2.15149;18;2;2
1;1;1;2.0;2021;38.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;21;4;2;75;75118;2;2;0.0;3.0;48.888344;2.349588;5;2;2
1;1;1;2.0;2021;57.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;22;10;1;6;6088;2;2;0.0;3.0;43.703946;7.267851;17;2;2
1;1;1;1.0;2021;50.0;2.0;0.0;1.0;2;2.0;5.0;1.0;80.0;10;2;3;28;28229;1;1;1.0;1.0;48.45054;1.44365;6;2;2
1;1;1;2.0;2021;28.0;1.0;2.0;1.0;4;1.0;1.0;1.0;50.0;6;12;1;94;94081;2;9;0.0;3.0;48.79624;2.41587;13;2;2
1;1;1;2.0;2021;39.0;1.0;2.0;1.0;1;3.0;1.0;1.0;90.0;6;3;2;93;93066;1;1;0.0;4.0;48.9148;2.35761;18;3;3
10;3;1;0.0;2021;71.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;16;12;1;47;47323;2;1;0.0;6.0;44.40729;0.70841;14;2;1
1;1;1;8.0;2021;47.0;1.0;2.0;5.0;7;2.0;1.0;1.0;50.0;26;2;1;6;6027;2;1;0.0;2.0;43.65683;7.1647;13;2;2
1;1;1;1.0;2021;29.0;2.0;2.0;1.0;4;2.0;1.0;1.0;50.0;24;1;1;13;13211;2;1;0.0;3.0;43.2876;5.4488;12;3;2
1;1;1;2.0;2021;44.0;1.0;6.0;1.0;3;2.0;1.0;1.0;80.0;9;5;1;57;57006;1;1;0.0;7.0;49.058932;7.172667;13;1;1
1;1;1;2.0;2021;52.0;1.0;2.0;1.0;1;3.0;1.0;1.0;90.0;17;9;1;94;94069;1;1;0.0;2.0;48.8173129923;2.4294376373;15;2;2
1;1;2;1.0;2021;30.0;2.0;2.0;1.0;7;2.0;1.0;1.0;50.0;26;10;1;63;63164;2;1;0.0;2.0;45.81208;3.15237;13;2;2
1;1;1;2.0;2021;22.0;1.0;0.0;1.0;9;2.0;6.0;1.0;80.0;24;5;1;50;50486;1;1;0.0;7.0;49.431768;-1.642606;10;1;1
1;1;1;2.0;2021;29.0;1.0;6.0;1.0;3;2.0;1.0;1.0;80.0;6;10;3;74;74263;1;1;0.0;6.0;46.330195;6.369034;23;1;1
1;1;1;8.0;2021;48.0;1.0;2.0;5.0;4;2.0;1.0;1.0;30.0;1;3;5;75;75113;2;3;0.0;2.0;48.820412;2.359095;22;3;2
1;1;1;2.0;2021;33.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;7;2;1;51;51454;2;1;0.0;3.0;49.2579975897;4.0408140977;10;2;2
1;1;2;1.0;2021;37.0;2.0;2.0;1.0;2;3.0;1.0;1.0;110.0;14;6;1;91;91103;1;1;0.0;4.0;48.62495;2.30896;9;4;3
1;1;1;1.0;2021;25.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;8;2;1;29;29160;1;1;0.0;1.0;48.518637;-4.402878;16;3;2
1;1;1;2.0;2021;28.0;1.0;2.0;1.0;3;2.0;1.0;8.0;50.0;2;2;5;92;92012;2;1;0.0;2.0;48.84628;2.22697;20;2;2
1;1;1;2.0;2021;29.0;1.0;0.0;1.0;4;3.0;2.0;1.0;50.0;25;7;1;75;75119;2;7;1.0;3.0;48.899626;2.387693;13;2;2
1;1;1;2.0;2021;38.0;1.0;2.0;5.0;4;2.0;1.0;1.0;30.0;24;9;1;75;75120;2;4;0.0;3.0;48.8710702175;2.3930613193;11;2;2
1;1;1;8.0;2021;40.0;2.0;0.0;1.0;7;4.0;2.0;3.0;80.0;30;10;3;34;34249;1;1;1.0;6.0;43.728272;3.983316;2;1;1
10;3;2;0.0;2021;16.0;5.0;1.0;1.0;3;2.0;1.0;1.0;50.0;30;7;1;3;3297;2;1;0.0;6.0;46.536714;2.609451;13;2;1
1;1;2;8.0;2021;20.0;2.0;0.0;1.0;4;2.0;1.0;8.0;50.0;20;7;1;68;68154;2;4;1.0;3.0;47.77136;7.369707;8;2;2
1;1;2;1.0;2021;60.0;2.0;2.0;1.0;3;2.0;1.0;1.0;50.0;17;7;1;93;93005;2;1;0.0;1.0;48.959664;2.502726;7;2;2
1;1;1;2.0;2021;27.0;1.0;2.0;1.0;1;1.0;2.0;1.0;90.0;7;8;3;94;94042;1;1;0.0;2.0;48.8283679668;2.4755835633;21;2;2
1;1;1;2.0;2021;47.0;1.0;0.0;1.0;7;2.0;1.0;1.0;50.0;13;8;5;13;13063;2;1;0.0;6.0;43.57781;5.01126;1;1;1
1;1;1;2.0;2021;63.0;1.0;2.0;1.0;3;2.0;1.0;1.0;80.0;31;5;1;34;34333;1;9;0.0;1.0;43.503274;3.781947;14;2;2
10;3;2;0.0;2021;23.0;1.0;1.0;3.0;4;2.0;1.0;1.0;30.0;10;9;5;75;75109;2;2;0.0;6.0;48.8714859909;2.343051042;23;2;1
4;2;1;1.0;2021;33.0;5.0;2.0;1.0;1;1.0;1.0;1.0;110.0;8;2;1;78;78402;1;1;0.0;4.0;48.96515;1.76456;14;12;3
1;1;1;8.0;2021;22.0;2.0;0.0;1.0;3;2.0;1.0;3.0;80.0;7;8;3;11;11085;1;1;0.0;7.0;43.178299;2.324858;5;1;1
1;1;1;1.0;2021;46.0;2.0;2.0;1.0;1;1.0;1.0;1.0;50.0;13;4;1;33;33550;1;1;0.0;2.0;44.783685;-0.58831;17;2;2
1;1;2;1.0;2021;25.0;2.0;0.0;1.0;4;1.0;1.0;1.0;30.0;9;12;5;75;75105;2;4;0.0;6.0;48.843185;2.364156;3;2;1
1;1;1;1.0;2021;27.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;13;12;1;971;97125;1;2;0.0;3.0;16.267548;-61.320003;11;5;2
